MICROPHONE CABLE/LEADS,,,
ITEM NAME ,BRAND AVAILABLITY,,
,ASIAN,TRUE MASTER,M1 
XLRM TO XLRF ,✅,✅,✅
XLRF TO P38,✅,✅,✅
P38 TO RC,✅,✅,✅
P38 TO 2RC,✅,✅,✅
P38 TO P38,✅,✅,✅
XLRM TO RC,✅,✅,✅
EPIN TO RC,✅,✅,✅
EPIN TO 2RC,✅,✅,✅
P38 TO 2P38,✅,✅,✅
EPIN TO 2P38,✅,✅,✅
XLRF TO 2XLRM,✅,✅,✅
XLRF TO 2XLRM,✅,✅,✅
CTIP TO 2RC,✅,✅,✅
CTIP TO RC,✅,✅,✅
CTIP TO P38 ,✅,✅,✅
CTIP TO 2P38,✅,✅,✅
CTIP TO EPIN,✅,✅,✅
XLRM TO 2XLRF,✅,✅,✅
LMT 2 CORE MIC,✅,✅,✅
T.C. TO B.C.,✅,✅,✅
80 TAAR,✅,✅,✅
64 TAAR,✅,✅,✅
128 TAAR,✅,✅,✅
48 TAAR,✅,✅,✅
96 TAAR,✅,✅,✅